,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
42,Fabien Barthez,Goalkeeper,29,Monaco,Ligue 1,Man Utd,England,2000-2001,,11700000
43,Edmílson,Centre-Back,23,São Paulo, Brazil,Olympique Lyon,France,2000-2001,,11000000
44,Stéphane Dalmat,Central Midfield,21,Marseille,Ligue 1,Paris SG,France,2000-2001,,10750000
45,Laurén,Right-Back,23,RCD Mallorca,LaLiga,Arsenal,England,2000-2001,,10700000
46,Pedro Munitis,Second Striker,25,Racing,LaLiga,Real Madrid,Spain,2000-2001,,10500000
47,Olivier Dacourt,Defensive Midfield,25,Lens,Ligue 1,Leeds,England,2000-2001,,10500000
48,Carl Cort,Centre-Forward,22,MK Dons, England,Newcastle,England,2000-2001,,10500000
49,Stéphane Porato,Goalkeeper,26,Marseille,Ligue 1,Monaco,France,2000-2001,,10500000
50,Robert Pirès,Left Midfield,26,Marseille,Ligue 1,Arsenal,England,2000-2001,,9800000
51,Émerson,Defensive Midfield,28,CD Tenerife,LaLiga2,Dep. La Coruña,Spain,2000-2001,,9600000
52,Chris Sutton,Centre-Forward,27,Chelsea,Premier League,Celtic,England,2000-2001,,9500000
53,Claudio Husaín,Defensive Midfield,25,River Plate, Argentina,SSC Napoli,Italy,2000-2001,,9300000
54,Craig Bellamy,Left Winger,21,Norwich, England,Coventry City,England,2000-2001,,9250000
55,Mark Viduka,Centre-Forward,24,Celtic, Scotland,Leeds,England,2000-2001,,9150000
56,Pauleta,Centre-Forward,27,Dep. La Coruña,LaLiga,G. Bordeaux,France,2000-2001,,9100000
57,Alpay Özalan,Centre-Back,27,Fenerbahce,Süper Lig,Aston Villa,England,2000-2001,,9000000
58,Christian Ziege,Left Midfield,28,Middlesbrough,Premier League,Liverpool,England,2000-2001,,9000000
59,Nick Barmby,Left Midfield,26,Everton,Premier League,Liverpool,England,2000-2001,,9000000
60,Marc-Vivien Foé,Central Midfield,25,West Ham,Premier League,Olympique Lyon,France,2000-2001,,9000000
61,Lúcio,Centre-Back,22,Internacional, Brazil,Bay. Leverkusen,Germany,2000-2001,,8750000
62,Christian Karembeu,Defensive Midfield,29,Real Madrid,LaLiga,Middlesbrough,England,2000-2001,,8750000
63,Neil Lennon,Central Midfield,29,Leicester,Premier League,Celtic,England,2000-2001,,8630000
64,John Carew,Centre-Forward,20,Rosenborg BK,Eliteserien,Valencia CF,Spain,2000-2001,,8500000
65,Mario Stanic,Right Winger,28,Parma,Serie A,Chelsea,England,2000-2001,,8400000
66,Igor Biscan,Centre-Back,22,Dinamo Zagreb, Croatia,Liverpool,England,2000-2001,,8250000
67,Julio Cruz,Centre-Forward,25,Feyenoord,Eredivisie,Bologna,Italy,2000-2001,,8200000
68,Patrick Müller,Centre-Back,23,Grasshoppers,Super League,Olympique Lyon,France,2000-2001,,8000000
69,Zlatko Zahovic,Attacking Midfield,29,Olympiacos,Super League,Valencia CF,Spain,2000-2001,,8000000
70,Sabri Lamouchi,Central Midfield,28,Monaco,Ligue 1,Parma,Italy,2000-2001,,7850000
71,Willy Sagnol,Right-Back,23,Monaco,Ligue 1,Bayern Munich ,Germany,2000-2001,,7700000
72,Johan Micoud,Attacking Midfield,26,G. Bordeaux,Ligue 1,Parma,Italy,2000-2001,,7600000
73,Martín Palermo,Centre-Forward,27,Boca Juniors, Argentina,Villarreal CF,Spain,2000-2001,,7600000
74,Ben Thatcher,Left-Back,24,MK Dons, England,Spurs,England,2000-2001,,7540000
75,Eidur Gudjohnsen,Centre-Forward,21,Bolton, England,Chelsea,England,2000-2001,,7500000
76,Bruno Cirillo,Centre-Back,23,Reggina,Serie A,Inter,Italy,2000-2001,,7500000
77,Sunday Oliseh,Defensive Midfield,25,Juventus,Serie A,Bor. Dortmund,Germany,2000-2001,,7500000
78,Roger,Attacking Midfield,21,Fluminense, Brazil,Benfica,Portugal,2000-2001,,7500000
79,Dino Baggio,Defensive Midfield,29,Parma,Serie A,Lazio,Italy,2000-2001,,7500000
80,Diego Placente,Left-Back,23,River Plate, Argentina,Bay. Leverkusen,Germany,2000-2001,,7300000
81,David Sesa,Second Striker,26,Lecce,Serie A,SSC Napoli,Italy,2000-2001,,7250000
82,Bert Konterman,Centre-Back,29,Feyenoord,Eredivisie,Rangers,England,2000-2001,,7250000
83,Dominic Matteo,Left-Back,26,Liverpool,Premier League,Leeds,England,2000-2001,,7130000
84,Mauro Germán Camoranesi,Right Midfield,24,CD Cruz Azul, Mexico,Hellas Verona,Italy,2000-2001,,7000000
85,Rodrigo Tello,Left Midfield,21,U. de Chile, Chile,Sporting CP,Portugal,2000-2001,,7000000
86,Luís Fabiano,Centre-Forward,19,Ponte Preta, Brazil,Stade Rennais,France,2000-2001,,7000000
87,Pierre van Hooijdonk,Centre-Forward,30,Vitesse,Eredivisie,Benfica,Portugal,2000-2001,,6800000
88,Hermann Hreidarsson,Centre-Back,25,MK Dons, England,Ipswich,England,2000-2001,,6750000
89,Émerson Thome,Centre-Back,28,Chelsea,Premier League,Sunderland,England,2000-2001,,6700000
90,Hakan Sükür,Centre-Forward,28,Galatasaray,Süper Lig,Inter,Italy,2000-2001,,6500000
91,Philippe Delaye,Central Midfield,25,Montpellier,Ligue 2,Stade Rennais,France,2000-2001,,6500000
92,Alex Nyarko,Centre-Back,26,Lens,Ligue 1,Everton,England,2000-2001,,6300000
93,Bob Peeters,Centre-Forward,26,Roda JC,Eredivisie,Vitesse,Netherlands,2000-2001,,6300000
94,César Sánchez,Goalkeeper,28,Real Valladolid,LaLiga,Real Madrid,Spain,2000-2001,,6250000
95,Carlos Gamarra,Centre-Back,29,Atlético Madrid,LaLiga2,Flamengo, Brazil,2000-2001,,6250000
96,Patrick M'Boma,Centre-Forward,29,Cagliari Calcio,Serie B,Parma,Italy,2000-2001,,6100000
97,Claus Jensen,Attacking Midfield,23,Bolton, England,Charlton,England,2000-2001,,6000000
98,Lucas Bernardi,Central Midfield,22,Newell's, Argentina,Marseille,France,2000-2001,,6000000
99,Alain Goma,Centre-Back,28,Newcastle,Premier League,Fulham, England,2000-2001,,6000000
100,Frédéric Déhu,Centre-Back,27,FC Barcelona,LaLiga,Paris SG,France,2000-2001,,6000000
101,Esteban Fuertes,Centre-Forward,27,Derby,Premier League,Lens,France,2000-2001,,6000000
102,Milan Rapaic,Left Midfield,26,Perugia,Serie A,Fenerbahce,Turkey,2000-2001,,6000000
103,Sebastián Cejas,Goalkeeper,26,Newell's, Argentina,AS Roma,Italy,2000-2001,,6000000
104,Zé Elias,Central Midfield,23,Bologna,Serie A,Olympiacos,China,2000-2001,,5800000
105,Joos Valgaeren,Centre-Back,24,Roda JC,Eredivisie,Celtic,England,2000-2001,,5700000
106,Bülent Akin,Defensive Midfield,21,Denizlispor,Süper Lig,Galatasaray,Turkey,2000-2001,,5500000
107,Ronald de Boer,Right Winger,30,FC Barcelona,LaLiga,Rangers,England,2000-2001,,5500000
108,Fernando Ricksen,Right-Back,23,AZ Alkmaar,Eredivisie,Rangers,England,2000-2001,,5400000
109,Duncan Ferguson,Centre-Forward,28,Newcastle,Premier League,Everton,England,2000-2001,,5400000
110,Giorgi Demetradze,Centre-Forward,24,Dynamo Kyiv,Premier Liga,Real Sociedad,Spain,2000-2001,,5400000
111,Christian Bassedas,Attacking Midfield,27,Vélez Sarsfield, Argentina,Newcastle,England,2000-2001,,5300000
112,José Luis Chilavert,Goalkeeper,35,Vélez Sarsfield, Argentina,R. Strasbourg,France,2000-2001,,5300000
113,Roberto Ayala,Centre-Back,27,AC Milan,Serie A,Valencia CF,Spain,2000-2001,,5000000
114,Viorel Moldovan,Centre-Forward,28,Fenerbahce,Süper Lig,FC Nantes,France,2000-2001,,5000000
115,Vratislav Gresko,Left-Back,23,Bay. Leverkusen,1.Bundesliga,Inter,Italy,2000-2001,,5000000
116,Giorgi Kinkladze,Attacking Midfield,27,AFC Ajax,Eredivisie,Derby,England,2000-2001,,5000000
117,Serkan Aykut,Centre-Forward,25,Samsunspor,Süper Lig,Galatasaray,Turkey,2000-2001,,5000000
118,Fernandão,Centre-Forward,22,Goiás EC, Brazil,Marseille,France,2000-2001,,5000000
119,Haim Revivo,Attacking Midfield,28,Celta de Vigo,LaLiga,Fenerbahce,Turkey,2000-2001,,5000000
120,Vicente,Left Winger,18,Levante UD,LaLiga2,Valencia CF,Spain,2000-2001,,4800000
121,Julio Arca,Central Midfield,19,Argentinos, Argentina,Sunderland,England,2000-2001,,4700000
122,Richard Dunne,Centre-Back,21,Everton,Premier League,Man City,England,2000-2001,,4500000
123,Gary Rowett,Right-Back,26,Birmingham, England,Leicester,England,2000-2001,,4500000
124,Richard Núñez,Attacking Midfield,25,Danubio FC, Uruguay,Grasshoppers,China,2000-2001,,4500000
125,David Thompson,Right Midfield,22,Liverpool,Premier League,Coventry City,England,2000-2001,,4500000
126,Alessandro Pistone,Left-Back,24,Newcastle,Premier League,Everton,England,2000-2001,,4500000
127,Joseph-Désiré Job,Centre-Forward,22,Lens,Ligue 1,Middlesbrough,England,2000-2001,,4500000
128,Radostin Kishishev,Defensive Midfield,25,Litex Lovetch, Bulgaria,Charlton,England,2000-2001,,4500000
129,Bernard Diomède,Left Winger,26,AJ Auxerre,Ligue 1,Liverpool,England,2000-2001,,4500000
130,Sixto Peralta,Central Midfield,21,Racing Club, Argentina,Inter,Italy,2000-2001,,4500000
131,David Johnson,Left Winger,24,Ipswich,Premier League,Nottm Forest, England,2000-2001,,4500000
132,Kennet Andersson,Centre-Forward,32,Bologna,Serie A,Fenerbahce,Turkey,2000-2001,,4500000
133,Marquinhos,Attacking Midfield,18,Avaí FC, Brazil,Bay. Leverkusen,Germany,2000-2001,,4500000
134,Alan Thompson,Left Midfield,26,Aston Villa,Premier League,Celtic,England,2000-2001,,4400000
135,Jonatan Johansson,Centre-Forward,24,Rangers, Scotland,Charlton,England,2000-2001,,4300000
136,Rodolfo Arruabarrena,Left-Back,24,Boca Juniors, Argentina,Villarreal CF,Spain,2000-2001,,4200000
137,Rigobert Song,Centre-Back,24,Liverpool,Premier League,West Ham,England,2000-2001,,4100000
138,José Francisco Molina,Goalkeeper,29,Atlético Madrid,LaLiga2,Dep. La Coruña,Spain,2000-2001,,4100000
139,Jörg Heinrich,Left Midfield,30,Fiorentina,Serie A,Bor. Dortmund,Germany,2000-2001,,4100000
140,Adrian Mutu,Centre-Forward,21,Inter,Serie A,Hellas Verona,Italy,2000-2001,,4000000
141,Fernando Meira,Centre-Back,22,Vit. Guimarães,Liga NOS,Benfica,Portugal,2000-2001,,4000000
142,Gianni Guigou,Defensive Midfield,25,Nacional, Uruguay,AS Roma,Italy,2000-2001,,4000000
143,Richard Dutruel,Goalkeeper,27,Celta de Vigo,LaLiga,FC Barcelona,Spain,2000-2001,,4000000
144,Pascal Nouma,Centre-Forward,28,Lens,Ligue 1,Besiktas,Turkey,2000-2001,,4000000
145,Craig Hignett,Right Winger,30,Barnsley FC, England,Blackburn, England,2000-2001,,4000000
146,Zoran Mirkovic,Right-Back,28,Juventus,Serie A,Fenerbahce,Turkey,2000-2001,,4000000
147,Charles Amoah,Centre-Forward,25,FC St. Gallen,Super League,Sturm Graz,Switzerland,2000-2001,,3930000
148,Niclas Alexandersson,Right Midfield,28,Sheff Wed, England,Everton,England,2000-2001,,3800000
149,Darren Huckerby,Right Winger,24,Leeds,Premier League,Man City,England,2000-2001,,3800000
150,David Hopkin,Right Midfield,29,Leeds,Premier League,Bradford City,England,2000-2001,,3750000
151,Alf-Inge Haland,Defensive Midfield,27,Leeds,Premier League,Man City,England,2000-2001,,3750000
152,Lomana LuaLua,Second Striker,19,Colchester Utd., England,Newcastle,England,2000-2001,,3750000
153,Steve Watson,Right Midfield,26,Aston Villa,Premier League,Everton,England,2000-2001,,3750000
154,Lee Carsley,Defensive Midfield,26,Blackburn, England,Coventry City,England,2000-2001,,3750000
155,Don Hutchison,Attacking Midfield,29,Everton,Premier League,Sunderland,England,2000-2001,,3750000
156,Didier Deschamps,Defensive Midfield,31,Chelsea,Premier League,Valencia CF,Spain,2000-2001,,3500000
157,Santiago Solari,Left Midfield,23,Atlético Madrid,LaLiga2,Real Madrid,Spain,2000-2001,,3500000
158,Thomas Gravesen,Defensive Midfield,24,Hamburger SV,1.Bundesliga,Everton,England,2000-2001,,3500000
159,Jeong-hwan Ahn,Centre-Forward,23,Busan IPark," Korea, South",Perugia,Italy,2000-2001,,3500000
160,Vasilios Tsiartas,Attacking Midfield,27,Sevilla FC,LaLiga2,AEK Athens,China,2000-2001,,3500000
161,Stephen Hughes,Defensive Midfield,23,Arsenal,Premier League,Everton,England,2000-2001,,3500000
162,Marc Wilmots,Attacking Midfield,31,FC Schalke 04,1.Bundesliga,G. Bordeaux,France,2000-2001,,3500000
163,Alen Boksic,Centre-Forward,30,Lazio,Serie A,Middlesbrough,England,2000-2001,,3450000
164,Geoff Horsfield,Centre-Forward,26,Fulham, England,Birmingham, England,2000-2001,,3380000
165,Louis Saha,Centre-Forward,21,FC Metz,Ligue 1,Fulham, England,2000-2001,,3150000
166,Marcus Bent,Centre-Forward,22,Sheffield Utd., England,Blackburn, England,2000-2001,,3150000
167,Vratislav Lokvenc,Centre-Forward,26,Sparta Praha, Czech Republic,1.FC K'lautern,Germany,2000-2001,,3150000
168,Aleksey Smertin,Defensive Midfield,25,Loko Moscow,Premier Liga,G. Bordeaux,France,2000-2001,,3000000
169,Stjepan Tomas,Centre-Back,24,Dinamo Zagreb, Croatia,Vicenza,Italy,2000-2001,,3000000
170,Jason Roberts,Centre-Forward,22,Bristol Rovers, England,West Brom, England,2000-2001,,3000000
171,Emmanuel Olisadebe,Centre-Forward,22,Pol. Warsaw,Ekstraklasa,Panathinaikos,China,2000-2001,,3000000
172,Danny Higginbotham,Centre-Back,21,Man Utd,Premier League,Derby,England,2000-2001,,3000000
173,Andrew O'Brien,Centre-Back,21,Bradford City,Premier League,Newcastle,England,2000-2001,,3000000
174,Antonio Pacheco,Second Striker,24,Peñarol, Uruguay,Inter,Italy,2000-2001,,3000000
175,Noel Whelan,Centre-Forward,25,Coventry City,Premier League,Middlesbrough,England,2000-2001,,3000000
176,Changui,Centre-Forward,23,SD Compostela,LaLiga2,Dep. La Coruña,Spain,2000-2001,,3000000
177,Shaun Bartlett,Centre-Forward,28,FC Zürich,Super League,Charlton,England,2000-2001,,3000000
178,Dmitri Alenichev,Central Midfield,27,AS Roma,Serie A,FC Porto,Portugal,2000-2001,,3000000
179,Andrejs Stolcers,Attacking Midfield,26,Shakhtar D.,Premier Liga,Fulham, England,2000-2001,,3000000
180,Oktay Derelioglu,Centre-Forward,24,Siirtspor,Süper Lig,UD Las Palmas,Spain,2000-2001,,3000000
181,Bjørn Otto Bragstad,Centre-Back,29,Rosenborg BK,Eliteserien,Derby,England,2000-2001,,3000000
182,Kenny Miller,Centre-Forward,20,Hibernian FC, Scotland,Rangers,England,2000-2001,,3000000
183,Johan Elmander,Centre-Forward,19,Örgryte, Sweden,Feyenoord,Netherlands,2000-2001,,2900000
184,Milan Fukal,Centre-Back,25,Sparta Praha, Czech Republic,Hamburger SV,Germany,2000-2001,,2900000
185,Andrejs Rubins,Left Winger,21,Skonto Riga, Latvia,Crystal Palace, England,2000-2001,,2800000
186,Marcel Ketelaer,Left Midfield,22,Bor. M'gladbach,2.Bundesliga,Hamburger SV,Germany,2000-2001,,2800000
187,John Collins,Left Midfield,32,Everton,Premier League,Fulham, England,2000-2001,,2750000
188,Didier Martel,Forward,28,FC Utrecht,Eredivisie,Vitesse,Netherlands,2000-2001,,2750000
189,Bernard Mendy,Right-Back,18,SM Caen,Ligue 2,Paris SG,France,2000-2001,,2700000
190,Danijel Ljuboja,Centre-Forward,21,FC Sochaux,Ligue 2,R. Strasbourg,France,2000-2001,,2700000
191,Tomás Galásek,Defensive Midfield,27,Willem II,Eredivisie,AFC Ajax,Netherlands,2000-2001,,2700000
192,Yoshikatsu Kawaguchi,Goalkeeper,26,Yokohama F. M.,J1 - 2nd Stage,Portsmouth,England,2000-2001,,2700000
193,Gabriel Schürrer,Centre-Back,28,Dep. La Coruña,LaLiga,UD Las Palmas,Spain,2000-2001,,2700000
194,Henning Berg,Right-Back,30,Man Utd,Premier League,Blackburn, England,2000-2001,,2630000
195,Gary Naysmith,Left-Back,21,Heart of Midl., Scotland,Everton,England,2000-2001,,2630000
196,Petri Pasanen,Centre-Back,19,FC Lahti, Finland,AFC Ajax,Netherlands,2000-2001,,2600000
197,Christian Dailly,Centre-Back,27,Blackburn, England,West Ham,England,2000-2001,,2600000
198,Jesper Christiansen,Goalkeeper,22,Odense BK, Denmark,Rangers,England,2000-2001,,2550000
199,Nikola Lazetic,Right Winger,22,FK Obilic, Serbia,Fenerbahce,Turkey,2000-2001,,2500000
200,Tim Cornelisse,Right-Back,22,RKC Waalwijk,Eredivisie,Vitesse,Netherlands,2000-2001,,2500000
201,Abdelilah Saber,Right-Back,26,Sporting CP,Liga NOS,SSC Napoli,Italy,2000-2001,,2500000
202,Callum Davidson,Left-Back,24,Blackburn, England,Leicester,England,2000-2001,,2500000
203,Fazli Ulusal,Centre-Forward,26,Antalyaspor,Süper Lig,Besiktas,Turkey,2000-2001,,2500000
204,Ole Martin Arst,Centre-Forward,25,KAA Gent,Jupiler Pro League,Standard Liège,Belgium,2000-2001,,2500000
205,Feliciano Magro,Attacking Midfield,21,Grasshoppers,Super League,Udinese Calcio,Italy,2000-2001,,2500000
206,Jean-François Gillet,Goalkeeper,21,Monza,Serie B,Bari,Italy,2000-2001,,2500000
207,Dimitar Berbatov,Centre-Forward,19,CSKA Sofia, Bulgaria,Bay. Leverkusen,Germany,2000-2001,,2500000
208,Cédric Roussel,Centre-Forward,23,Coventry City,Premier League,Wolves, England,2000-2001,,2400000
209,Per Frandsen,Right Midfield,30,Blackburn, England,Bolton, England,2000-2001,,2400000
210,Luciano,Right Midfield,24,Bologna,Serie A,Chievo Verona,Italy,2000-2001,,2330000
211,Edgaras Jankauskas,Centre-Forward,25,Club Brugge,Jupiler Pro League,Real Sociedad,Spain,2000-2001,,2300000
212,Alan Mahon,Left Midfield,22,Sporting CP,Liga NOS,Blackburn, England,2000-2001,,2300000
213,Gustavo Nery,Left-Back,22,Guarani, Brazil,São Paulo, Brazil,2000-2001,,2300000
214,Ciriaco Sforza,Central Midfield,30,1.FC K'lautern,1.Bundesliga,Bayern Munich ,Germany,2000-2001,,2300000
215,David Hopkin,Right Midfield,30,Bradford City,Premier League,Crystal Palace, England,2000-2001,,2250000
216,Paul Robinson,Centre-Forward,21,Newcastle,Premier League,MK Dons, England,2000-2001,,2250000
217,Karel Poborsky,Right Midfield,28,Benfica,Liga NOS,Lazio,Italy,2000-2001,,2250000
218,Rab Douglas,Goalkeeper,28,Dundee FC, Scotland,Celtic,England,2000-2001,,2250000
219,Erman Güracar,Centre-Back,25,Samsunspor,Süper Lig,Besiktas,Turkey,2000-2001,,2250000
220,Trevor Benjamin,Centre-Forward,21,Cambridge Utd., England,Leicester,England,2000-2001,,2250000
221,John Curtis,Right-Back,21,Man Utd,Premier League,Blackburn, England,2000-2001,,2250000
222,Peter Lövenkrands,Centre-Forward,20,Akademisk BK, Denmark,Rangers,England,2000-2001,,2200000
223,Ivica Dragutinovic,Centre-Back,24,KAA Gent,Jupiler Pro League,Standard Liège,Belgium,2000-2001,,2200000
224,Francesc Arnau,Goalkeeper,25,FC Barcelona,LaLiga,Málaga CF,Spain,2000-2001,,2100000
225,Bernt Haas,Right-Back,22,Grasshoppers,Super League,Sunderland,England,2000-2001,,2100000
226,Pascal Ojigwe,Defensive Midfield,23,1. FC Köln,1.Bundesliga,Bay. Leverkusen,Germany,2000-2001,,2100000
227,Chris Makin,Left-Back,27,Sunderland,Premier League,Ipswich,England,2000-2001,,2100000
228,Frank Verlaat,Centre-Back,32,AFC Ajax,Eredivisie,Werder Bremen,Germany,2000-2001,,2100000
229,Ashley Ward,Centre-Forward,29,Blackburn, England,Bradford City,England,2000-2001,,2100000
230,David Healy,Centre-Forward,21,Man Utd,Premier League,Preston NE, England,2000-2001,,2000000
231,Georgi Peev,Right Midfield,21,Lok. Sofia, Bulgaria,Dynamo Kyiv,Russia,2000-2001,,2000000
232,Hervé Tum,Centre-Forward,21,FC Sion,Super League,FC Basel,China,2000-2001,,2000000
233,Goran Gavrancic,Centre-Back,22,Cukaricki, Serbia,Dynamo Kyiv,Russia,2000-2001,,2000000
234,Elvir Bolic,Centre-Forward,28,Fenerbahce,Süper Lig,Rayo Vallecano,Spain,2000-2001,,2000000
235,Aleksandr Panov,Centre-Forward,24,Zenit S-Pb,Premier Liga,Saint-Étienne,France,2000-2001,,2000000
236,Marzouq Al-Otaibi,Centre-Forward,0,Shabab, Saudi Arabia,Ittihad, Saudi Arabia,2000-2001,,2000000
237,Espen Baardsen,Goalkeeper,22,Spurs,Premier League,Watford, England,2000-2001,,2000000
238,Slavisa Jokanovic,Defensive Midfield,32,Dep. La Coruña,LaLiga,Chelsea,England,2000-2001,,1900000
239,José Amavisca,Left Midfield,29,Racing,LaLiga,Dep. La Coruña,Spain,2000-2001,,1900000
240,Ivica Banovic,Defensive Midfield,19,NK Zagreb, Croatia,Werder Bremen,Germany,2000-2001,,1900000
241,Tommy Berntsen,Centre-Back,27,Lilleström SK,Eliteserien,E. Frankfurt,Germany,2000-2001,,1880000
242,Patricio Camps,Forward,28,Vélez Sarsfield, Argentina,PAOK Saloniki,China,2000-2001,,1850000
243,Brett Emerton,Right Midfield,21,Sydney Olympic, Australia,Feyenoord,Netherlands,2000-2001,,1800000
244,Sergej Barbarez,Second Striker,28,Bor. Dortmund,1.Bundesliga,Hamburger SV,Germany,2000-2001,,1800000
245,Radek Bejbl,Defensive Midfield,27,Atlético Madrid,LaLiga2,Lens,France,2000-2001,,1800000
246,Robin Nelisse,Centre-Forward,22,Feyenoord,Eredivisie,AZ Alkmaar,Netherlands,2000-2001,,1800000
247,Yago Yao,Centre-Back,21,Sporting Gijón,LaLiga2,Celta de Vigo,Spain,2000-2001,,1800000
248,Zinédine Zidane,Attacking Midfield,29,Juventus,Serie A,Real Madrid,Spain,2001-2002,,77500000
249,Gianluigi Buffon,Goalkeeper,23,Parma,Serie A,Juventus,Italy,2001-2002,,52880000
250,Gaizka Mendieta,Right Midfield,27,Valencia CF,LaLiga,Lazio,Italy,2001-2002,,48000000
251,Juan Sebastián Verón,Central Midfield,26,Lazio,Serie A,Man Utd,England,2001-2002,,42600000
252,Rui Costa,Attacking Midfield,29,Fiorentina,Serie A,AC Milan,Italy,2001-2002,,42000000
253,Lilian Thuram,Centre-Back,29,Parma,Serie A,Juventus,Italy,2001-2002,,41500000
254,Pavel Nedved,Left Midfield,28,Lazio,Serie A,Juventus,Italy,2001-2002,,38700000
255,Filippo Inzaghi,Centre-Forward,27,Juventus,Serie A,AC Milan,Italy,2001-2002,,37000000
256,Javier Saviola,Second Striker,19,River Plate, Argentina,FC Barcelona,Spain,2001-2002,,35900000
257,Ruud van Nistelrooy,Centre-Forward,25,PSV Eindhoven,Eredivisie,Man Utd,England,2001-2002,,28500000
